region_id,region_type,region
32503,city,Lincoln;NE;Lincoln NE;Lancaster County
96208,zip,90706;CA;Los Angeles-Long Beach-Anaheim CA;Bellflower;Los Angeles County
394415,metro,Bridgeport CT
394653,metro,Greenville SC
394312,metro,Albuquerque NM
394357,metro,Bakersfield CA
394308,metro,Albany NY
394753,metro,Knoxville TN
394367,metro,Baton Rouge LA
394843,metro,McAllen TX
394908,metro,New Haven CT
394561,metro,El Paso TX
30258,city,Arlington;VA;Washington-Arlington-Alexandria DC-VA-MD-WV;Arlington County
9,state,California
394318,metro,Allentown PA
394952,metro,Oxnard CA
394486,metro,Columbia SC
753906,metro,North Port FL
394457,metro,Charleston SC
394648,metro,Greensboro NC
395134,metro,Stockton CA
394440,metro,Cape Coral FL
394399,metro,Boise City ID
394484,metro,Colorado Springs CO
394766,metro,Lakeland FL
394304,metro,Akron OH
394531,metro,Des Moines IA
395115,metro,Springfield MA
394931,metro,Ogden UT
394816,metro,Madison WI
395235,metro,Winston NC
394528,metro,Deltona FL
395143,metro,Syracuse NY
395006,metro,Provo UT
395160,metro,Toledo OH
395224,metro,Wichita KS
394549,metro,Durham NC
394352,metro,Augusta GA
394957,metro,Palm Bay FL
394711,metro,Jackson MS
394666,metro,Harrisburg PA
395113,metro,Spokane WA
395075,metro,Scranton PA
394460,metro,Chattanooga TN
394871,metro,Modesto CA
394768,metro,Lancaster PA
394997,metro,Portland ME
394792,metro,Lexington KY
394971,metro,Pensacola FL
395019,metro,Reno NV
394761,metro,Lafayette LA
394338,metro,Asheville NC
395183,metro,Vallejo CA
753917,metro,Santa Maria CA
395048,metro,Salem OR
395015,metro,Reading PA
394502,metro,Corpus Christi TX
394612,metro,Fort Wayne IN
395051,metro,Salisbury MD
394972,metro,Peoria IL
394439,metro,Canton OH
395070,metro,Savannah GA
394327,metro,Anchorage AK
394372,metro,Beaumont TX
394875,metro,Montgomery AL
395146,metro,Tallahassee FL
394679,metro,Hickory NC
394697,metro,Huntington WV
394602,metro,Fort Collins CO
395033,metro,Rockford IL
395107,metro,South Bend IN
95315,zip,87121;NM;Albuquerque NM;Albuquerque;Bernalillo County
91325,zip,76244;TX;Dallas-Fort Worth-Arlington TX;Fort Worth;Tarrant County
91732,zip,77083;TX;Houston-The Woodlands-Sugar Land TX;Houston;Harris County
61616,zip,10002;NY;New York-Newark-Jersey City NY-NJ-PA;New York;New York County
67732,zip,23464;VA;Virginia Beach-Norfolk-Newport News VA-NC;Virginia Beach;Virginia Beach City
