year,indicator_id,mean,median
1996,Z1BR,99020.63,86937.0
1996,Z2BR,104959.09,91787.0
1996,Z3BR,129600.56,110795.0
1996,Z4BR,167689.08,142835.0
1996,Z5BR,222678.34,182886.0
1996,ZALL,131060.85,109715.0
1996,ZATT,192613.99,159049.0
1996,ZCON,124116.81,109164.0
1996,ZSFH,134901.69,111446.0
1996,ZABT,76332.66,64502.0
1997,Z1BR,101284.81,89137.5
1997,Z2BR,107760.16,94117.0
1997,Z3BR,133411.03,113985.0
1997,Z4BR,172854.78,147296.0
1997,Z5BR,229721.42,188024.0
1997,ZALL,134936.82,113026.0
1997,ZATT,196767.74,163041.5
1997,ZCON,127228.15,111553.0
1997,ZSFH,138965.22,114686.0
1997,ZABT,78777.07,66512.0
1998,Z1BR,104661.75,91425.0
1998,Z2BR,111998.94,96728.0
1998,Z3BR,138914.27,117520.0
1998,Z4BR,180243.94,152395.5
1998,Z5BR,240780.97,195089.0
1998,ZALL,140409.86,116574.0
1998,ZATT,203246.85,167390.0
1998,ZCON,132975.04,115282.0
1998,ZSFH,144615.19,118069.5
1998,ZABT,81959.95,68868.0
1999,Z1BR,109421.9,94329.0
1999,Z2BR,117120.86,99365.0
1999,Z3BR,145367.36,121137.0
1999,Z4BR,189607.86,157700.0
1999,Z5BR,254726.22,203029.0
1999,ZALL,146728.65,119886.0
1999,ZATT,211042.79,171260.0
1999,ZCON,141004.67,120461.0
1999,ZSFH,151577.92,121304.0
1999,ZABT,85085.89,70524.5
2000,Z1BR,111906.62,93181.0
2000,Z2BR,117567.09,95769.9
2000,Z3BR,149250.37,120597.28
2000,Z4BR,198531.92,160715.5
2000,Z5BR,272456.58,211137.0
2000,ZALL,150012.36,119012.88
2000,ZATT,238117.85,188811.98
2000,ZCON,145099.88,121110.93
2000,ZSFH,157660.69,121473.78
2000,ZABT,80686.68,64358.24
2001,Z1BR,121010.11,98762.3
2001,Z2BR,126879.41,100805.86
2001,Z3BR,161105.95,126894.93
2001,Z4BR,214286.97,169064.22
2001,Z5BR,295513.45,223318.0
2001,ZALL,161967.54,125495.1
2001,ZATT,254105.01,197381.83
2001,ZCON,158212.83,129300.0
2001,ZSFH,170675.62,127940.36
2001,ZABT,86939.51,68305.0
2002,Z1BR,129101.26,104477.0
2002,Z2BR,135281.33,105927.67
2002,Z3BR,171672.24,133268.41
2002,Z4BR,228216.06,177422.49
2002,Z5BR,315963.73,235821.0
2002,ZALL,172579.95,132233.0
2002,ZATT,269334.1,206445.89
2002,ZCON,169946.25,138327.22
2002,ZSFH,182268.97,134601.82
2002,ZABT,93117.37,71991.0
2003,Z1BR,139197.0,111226.5
2003,Z2BR,145553.24,111724.0
2003,Z3BR,184587.1,140189.0
2003,Z4BR,244675.38,186807.0
2003,Z5BR,339330.92,249723.26
2003,ZALL,185597.6,139624.28
2003,ZATT,287297.79,215547.85
2003,ZCON,183976.16,147690.37
2003,ZSFH,196140.26,142064.58
2003,ZABT,100536.04,76050.0
2004,Z1BR,152388.8,119632.0
2004,Z2BR,159364.25,119668.9
2004,Z3BR,202014.21,149965.75
2004,Z4BR,266675.45,199708.6
2004,Z5BR,369350.75,268242.24
2004,ZALL,203065.29,149870.89
2004,ZATT,311452.25,229344.65
2004,ZCON,202198.65,159391.62
2004,ZSFH,214938.17,152617.43
2004,ZABT,110552.02,82232.0
2005,Z1BR,161490.57,122273.0
2005,Z2BR,169213.15,122979.0
2005,Z3BR,215489.96,154383.53
2005,Z4BR,284125.34,206026.94
2005,Z5BR,393270.01,279018.3
2005,ZALL,216290.21,153799.96
2005,ZATT,320086.35,230257.0
2005,ZCON,222028.87,169649.41
2005,ZSFH,228970.38,156918.32
2005,ZABT,115088.89,82708.02
2006,Z1BR,168855.84,126785.0
2006,Z2BR,177903.81,127650.93
2006,Z3BR,228010.23,160808.0
2006,Z4BR,300505.47,215321.6
2006,Z5BR,415410.22,291988.27
2006,ZALL,228896.02,160120.62
2006,ZATT,333319.54,236259.0
2006,ZCON,237783.29,181352.0
2006,ZSFH,242993.51,163559.77
2006,ZABT,120309.44,84447.0
2007,Z1BR,167070.24,126732.5
2007,Z2BR,176675.49,128880.71
